text,human,model,pred_a,pred_b,order
"Nevertheless, Levitt contended, by taking positive steps to cut government spending and by using direct credit restraints-in lieu of even higher interest rates than are already in prospect-to curb spending by consumers and business, Carter has laid some of the ground- work for an easing of inflation.",['demand'],['fiscal'],['fiscal'],['demand'],"('model', 'human')"
"Add a dollop of whipped cream and a HI $mm mm Ml MS ClEBi r GREEN MAGIC ALL- PURPOSE HOUSEHOLD CLEANER IS A POSITIVE WAY TO FIGHT INFLATION With safe, gentle, effective Green Magic, you can replace liquid cleaners, oven cleaners, cleansers, tile cleaners, metal cleaners, steel wool soap pads and more.",['other-effect'],[],['other-effect'],[],"('human', 'model')"
"If Mr. Carter seems to have a handle on Inflation, unemployment, unemployment, and the gas pumps, and if conditions of relative peace are still In effect, he will be a tough guy to beat.",['fiscal'],[],['fiscal'],[],"('human', 'model')"
"Talking about life insurance companies, he said theirs is ""a dreary story since new sales died as inflation went up... and that will hurt their cash flow drastically in future years.""",['cost-push'],['other-effect'],['other-effect'],['cost-push'],"('model', 'human')"
"Consequently, increases increases in valuation due to inflation do indeed raise the number of actual dollars dollars in property taxes owed.",['cost'],['govt'],['govt'],['cost'],"('model', 'human')"
"Last year the same people wanted Spiro Agnew..- 4 That new price-wage office in Washington, set up for Nixon's anti-inflation program, program, is getting new carpet on the floors and pictures on the wall, which sure sounds like it expects to be there for a while, not just until Nov. 12.",['govt'],['expect'],['govt'],['expect'],"('human', 'model')"
"The problem of liquidating big inventories is still ahead. the 14.4 per cent increase in the inflation rate in the fourth quarter of 1974 was higher than expected, there are definite signs of price increases slowing.",['cost-push'],['other-effect'],['other-effect'],['cost-push'],"('model', 'human')"
The Dow drops 4.86 NEW YORK - (AP) Slumping blue-chip Issues dragged the rest of the stock market down Thursday amid worries about increasing inflation inflation and the possibility of further interest rate rises.,['uncertain'],[],[],['uncertain'],"('model', 'human')"
"Three ago, I a anu- inflation program that couples responsible government restraint with responsible wage and price restraint It is based upon my knowledge that there is a more powerful force than government compul- sion-the force created by the cooperative efforts of millions of Americans working toward a com- mon goal.",[],['fiscal'],[],['fiscal'],"('human', 'model')"
"In Charles de Gaulle's famous phrase, gold has ""eternally and universally been regarded as the unalterable currency par excellence""--when wars loom or inflation seems out of control.",['savings'],[],['savings'],[],"('human', 'model')"
But he acknowledged that the Administration-projected rate of 6.5% to 7% inflation this year still made it the na- tion s worst domestic problem.,['social'],[],['social'],[],"('human', 'model')"
"REPUBLICAN NATIONAL Chairman Bill Brock said the ""American people face the prospect of a possible reces- sion"" if the inflation rate so high.",['purchase'],['other-effect'],['other-effect'],['purchase'],"('model', 'human')"
"Letters To the Editor of The Times Letters To the Editor of The Times New Direction To the Editor: Hunger, poverty, inadequate housing, backward education, chronic unemployment and outmoded job training, crime, violence, civil disorder, unsatisfactory medical care, antiquated public transportation, insufficient consumer protection, tax squeeze for ""defense,"" inflation, gold loss and attacks on the dollar--our problems here today have grown more ominous than the Johnson-Humphrey Administration's problems in Southeast Asia.",['social'],[],['social'],[],"('human', 'model')"
"In the face of inflation, he may have fewer people next fiscal year.",['cost-push'],[],['cost-push'],[],"('human', 'model')"
"Although inflation, which brought higher prices for tickets, played a partial, but by no means solo, role in the rise of revenues, the attendance figures indicate a steady growth in theatergoing.",[],['cost'],[],['cost'],"('human', 'model')"
"In the recent revival of academic and political discussion of U.S. exchange-rate policy, we have been critical of the floating experience, which, accidentally or not, happens to coincide with the worst global inflation and recession in decades.",['international'],[],['international'],[],"('human', 'model')"
"They burble enthusiastically about housing stability, a good investment, a hedge against inflation and future resale possibilities for their apartments.",['savings'],[],[],['savings'],"('model', 'human')"
Inflation Is probably the main reason for the dearth of bodies In many cocktail lounges and nightspots.,['cost'],['purchase'],['purchase'],['cost'],"('model', 'human')"
WARSON ROAD INDUSTRIAL PARK ADJACENT TO CITY PARK IN OLIVETTE ONLY 6 LOTS REMAIN ONE AND TWO ACRE TRACTS FIGHT INFLATION... 3-YEAR FINANCING AVAILABLE ON LOT PURCHASE BUY NOW BUILD LATER OR WE WILL BUILD FOR YOU NOW.,['savings'],[],[],['savings'],"('model', 'human')"
"But $25 billion probably -would not be enough to com-, j, pletely offset an anticipated inflation rate of about 8, the normal annual increase FORD HAS ASKED Con- jn population and new ad-gress ad-gress to agree to a $395 bil- ministration spending pro-lion pro-lion spending ceiling for fi- posais for energy and the seal 1977, which means Middle East peace. of what would happen if no spending ceilings are imposed, imposed, lists Social Security and railroad retirement benefits as potentially increasing increasing the most, by $12 billion.",['govt'],[],['govt'],[],"('human', 'model')"
"Inflation worries many of the pessimists, and bothers everyone else, especially anyone who s been out shopping for Christmas presents and remembers what last year s prices were like.",['cost'],[],['cost'],[],"('human', 'model')"
"Joseph A. Pechman and Arthur Okun, both of the Brookings Institution, a privately financed research research group, said the Ford proposals would do little to arrest the spinning spinning inflation rate but will aggravate recession and increase unemployment.",['govt'],[],[],['govt'],"('model', 'human')"
"Inflation has increased prices, he said, and the original $6 million building would cost over $9 million today.",[],['cost'],['cost'],[],"('model', 'human')"
"Restricting credit card use between consenting adults wlll not restrain inflation, just as limiting the number of yardsticks will not affect the length of a yard.",['demand'],['monetary'],['monetary'],['demand'],"('model', 'human')"
"He argued in something of a circle. however, in demanding lower interest rates and simultaneously a fight against the cruelties of inflation.",['cost'],[],[],['cost'],"('model', 'human')"
"Inflation, too, hits government, just as it hits household or business costs.",['cost'],['govt'],['govt'],['cost'],"('model', 'human')"
"They cover the period of his pardon of Richard Nixon, the withdrawn withdrawn nominations of Peter Flanigan and Andrew Gibson, Gibson, the political campaigning campaigning of a President who might better have stayed in Washington to mind the shop, and the anti-inflation conference in September in which he pinpointed inflation as the nation's No. 1 enemy and enunciated a timid, conservative policy to combat it.",['social'],[],['social'],[],"('human', 'model')"
"Sound off In these times of inflation, about the only treat my husband and I can afford is an occasional sandwich out on weekends.",['cost'],['purchase'],['purchase'],['cost'],"('model', 'human')"
The system is threatened because of high inflation inflation and unemployment and a 1972 congressional mistake in twice compensating future retirees for inflation.,['govt'],['social'],['social'],['govt'],"('model', 'human')"
"WASHINGTON Albert Rees, director ofthe Council on Wage-Price Stability, said he still expects inflation this year to moderate from 1974's clip.",[],['expect'],[],['expect'],"('human', 'model')"
"Mr Carter cited a decline in inflation and unemployment last year and declared,""we reached our major economic goals for 1977 "" BUT HE SAID more must be done because ""our trade deficit is too large, inflation is still too high, and too many Americans still do not have a job "" Before addressing Congress.",['trade'],[],[],['trade'],"('model', 'human')"
"Despite Veblen's irony, we must agree with the authors that monetary and fiscal policy should not be based upon an attempt to fool the people, and that if they expect.inflation they wlll discount that factor in present wage-price policies and demands, thereby inducing a continuous wage-price spiral.",['wage'],['expect'],['expect'],['wage'],"('model', 'human')"
Jenal doesn't believe buyers must live with continual inflation.,['cost'],[],[],['cost'],"('model', 'human')"
"These sentiments, together with the well-founded suspicion that inflation often goes hand-in-hand with outsize budget deficits, lend support to the President's position of moderation in the pursuit of expansion.""",['govt'],['fiscal'],['govt'],['fiscal'],"('human', 'model')"
The principles would require that any national health plan reduce health costs and help fight inflation generally.,[],['cost'],['cost'],[],"('model', 'human')"
The labor federation assailed President Carter's anti-inflation policies when they were unveiled last October charging that workers' would carry the burden of sacri- fice.,['cost'],[],['cost'],[],"('human', 'model')"
"Officials put; base inflation at 10 percent t New York Times News Service WASHINGTON The White; House's wage and price monitors re- ported yesterday that the economy's,""basic rate of inflation appears to have risen to 10 percent a year, or a little' less, and is unlikely to come down'; rapidly. t The ""inflation update""by the Coun- cil on Wage and Price Stability was the highest official estimate so far of the underlying rate of inflation stripped of the 1979-80 surges of energy energy prices and home-loan interest; costs, which have been abating.",[],['supply'],[],['supply'],"('human', 'model')"
"""Demands that anticipate anticipate inflation only help to make It inevitable.""",['demand'],['expect'],['demand'],['expect'],"('human', 'model')"
"Prices Increase Sharply; Best Year Since '67 BY LOUIS DOMBROWSKI--T'Ibil- P-~v -1-ie%VAbHINGTON, J a n. 21- Consumer prices, released from the restraint of the wage- price freeze, rose sharply last month but the year 1971 as a whole had the best inflation record since 1967, the Labor Department reported an increase in the December consumer price in- dex of 0.4 per cent from No- vember, the nation s cost of living last year rose 3A per cent.",['fiscal'],[],[],['fiscal'],"('model', 'human')"
CHARTER BANK of JENNINGS 130 Rlnr Rtidi Stoplug Center Call Mr. Gettemeier 389-5500 PROPERTY IS YOUR BEST PROTECTION AGAINST INFLATION!,['savings'],[],[],['savings'],"('model', 'human')"
"Ideal for retired couple to hedge against Inflation I Owner wants offerl JEFF WILLIAMS, 844-1117.",['savings'],[],['savings'],[],"('human', 'model')"
"The President acknowledges the seriousness of the economic downturn, but he continues to focus on inflation as an equal if not a greater danger.",['govt'],[],['govt'],[],"('human', 'model')"
"But would r rather see inflation curbed, the dollar defended and the price of oil held down.",[],['rates'],['rates'],[],"('model', 'human')"
The broker rate is the interest charged on loans used in se curities purchases and is an indicator of what may happen to other rates The persistence of inflation will make it difficult for the Federal Re serve to loosen credit as it might be expected to do in slowing economy In addition fiscal stimulus probably will be limited as well Parry said Security Pacific forecast peak in interest rates by year end with the prime bank lending rate topping out at roughly 13V% and the federal funds rate rising to about 1194%.,['fiscal'],['rates'],['rates'],['fiscal'],"('model', 'human')"
"He said the recommendation of 8.66g for full pay was ""inconsistent with my course of ac- tion to build a strong and stable economy and to bring inflation under control.",['wage'],[],['wage'],[],"('human', 'model')"
"Also reflecting current Ilfestyles and the ""economic climate,"" according to Mr. Levine, were a series of ""inflation "" rooms, ranging in price from $2,100 for a patio, and $2,500' for a bedroom, to $12,000 for a split level living/dining room.",['cost'],[],['cost'],[],"('human', 'model')"
"""The recession is in full swing,"" observed Nguyen Ngoc Linh, president of the Mekong Group of Companies and one of South Vietnam's most successful businessmen. if the rate of inflation keeps up-about 40 per cent a year - if the price of rice keeps climbing, if foreign investors continue to shy away, Mr. Linh said,""then everything will fall apart.""",['trade'],['demand'],['trade'],['demand'],"('human', 'model')"
Interest rates the cost or price of money almost always follow the inflation spiral upward.,['savings'],['rates'],['rates'],['savings'],"('model', 'human')"
"Return of Order Praised I I President Castelo Braneo the Goulart regime of having sought to ""destroy property"" through unbridled inflation coupled with rent controls and expropriations, of ""prohibiting students from studying through continual strikes"" and of having fomented a ""conspiracy for the sergeants to revolt against the democratic order.""",['social'],['other-cause'],['social'],['other-cause'],"('human', 'model')"
"Respite From Rises And C. Jackson, Grayson, chairman of the Price Commis'sion, has indicated that i,f meat prices rose too igh his would launch an inquiry into supermarket pricing. *s the consumer who has not switched to poultry.-a since the prices of other meats began to advance i --or to eggs 0r, cheese has been getting a respite from price advances which, kept pace with the Administration's efforts to curb inflation.",['fiscal'],[],[],['fiscal'],"('model', 'human')"
"Dairy lobbyists exact their 'price' By Bill Neikirk Cbkno Trbs Prm SwIca - Consumers:soon will be paying more for *such imported cheese as Swiss, edam, bIeu nd brie, barring an unexpected switch,in plans by the Ford The higher prices probably won t contribute much to the overall rate of inflation, but they will demonstrate to con- sumers that the dairy indus- try s ability to influence gov- ernment decisions Is not dead, said one official close to the situation.",[],['international'],['international'],[],"('model', 'human')"
"CHICKEN IS still economical in these inflation-wrought days, and because it is versatile it suits many needs.",['cost'],[],[],['cost'],"('model', 'human')"
"Primary among these causes were the unbalanced government budget, easy credit policies which encouraged spending b e y o n d earning power and the cost-push inflation inherent in wage rate increases in excess of productivity improvement.",['demand'],['fiscal'],['demand'],['fiscal'],"('human', 'model')"
Inflation and general economic uncertainty uncertainty are causing some confident people to insist on even bigger jumps.,['uncertain'],[],[],['uncertain'],"('model', 'human')"
In the matter of inflation Mr. Johnson has lost control.,['social'],[],[],['social'],"('model', 'human')"
"In a speech to the fifty-ninth annual meeting of the United States Chamber of Commerce, Mr. Nixon took issue with some private economists who had said that Administration policies policies had made little progress in curbing inflation.",['fiscal'],[],['fiscal'],[],"('human', 'model')"
Protect vour nest-egg against Inflation.,['savings'],[],[],['savings'],"('model', 'human')"
The spur to keep up with inflation has hiked sales.,['cost-push'],['purchase'],['purchase'],['cost-push'],"('model', 'human')"
"Although d,~tai!s of the guideline are l yet to be worked out, one official said, the Administration's economic advisers have' devised a prof it-margin test for commercial banks to bring them under the Administration's voluntary effort to fight inflation..4 special guideline for banks, officials hope, v: ill bolster public confidence in the President's voluntary.",['govt'],[],['govt'],[],"('human', 'model')"
"Although this marketing device grew in popularity af;ter World War II, the *ness forced on today s shoppers by inflation makes ""cents off"" more enticing 'than ever before.",['cost'],['purchase'],['cost'],['purchase'],"('human', 'model')"
"For DavisBacon, while little--known, is an engine of inflation that generates pressures on the most critical Kraft sector of the economic front -the construction industry.",['supply'],['wage'],['wage'],['supply'],"('model', 'human')"
"12G Sun., Juno l, lwto SI LOUIS POST-DISPATCH 1 V pag?Mi 1 senator soaper meviews By Jim Fleblg THE ONLY way Inflation Inflation will go down is if Carter comes up with a plan to increase it.",['fiscal'],['other-cause'],['fiscal'],['other-cause'],"('human', 'model')"
"Then, tax reduction would be an open invitation to inflation, to a re- newed price-wage spiral, and would threaten our hard-won balance of payments improve- ment.",['wage'],['fiscal'],['fiscal'],['wage'],"('model', 'human')"
Miller said that inflation and progressive progressive tax rates would add $8 billion to the taxpayer's burden next year while the scheduled Jan. 1 Social Security increase will add another $4 billion.,['cost'],[],[],['cost'],"('model', 'human')"
"This, too, would cause runaway inflation or force heavy increases in personal taxes.""",[],['fiscal'],[],['fiscal'],"('human', 'model')"
"Cnunril officials also disclosed disclosed that prim increases are pending on about 1160 different products as proposed proposed by major firms under the Phase IV anti inflation guidelines. 4 The council Tuesday approved approved Increases for soaps, detergents, a wide variety of paper products and auto tires, although the tire increase increase was only about half of what major rubber companies had asked.",['govt'],[],[],['govt'],"('model', 'human')"
Brokers also noted Wall Street's approval of the emphasis emphasis the Carter administration administration has placed on controlling inflation.,['fiscal'],[],['fiscal'],[],"('human', 'model')"
"Adamantly refusing to increase Kunguru retail prices as a means to ease economic hassles, Tyus feels that greeting cards aren't a luxury, even in these days of rising inflation.",['cost'],[],['cost'],[],"('human', 'model')"
"I fear that there are too many people who believe that the unemployed must be used as a buffer stock against inflation.""",['social'],['demand'],['demand'],['social'],"('model', 'human')"
